Wall time,Step,Value
1713862487.8088303,0,-35720.15234375
1713862492.8743093,1,-32051.76171875
1713862497.9369714,2,-20062.25390625
1713862503.0437427,3,-14942.37890625
1713862508.1204498,4,-12601.2177734375
1713862513.2478056,5,-10380.064453125
1713862518.327767,6,-9248.08203125
1713862523.3792393,7,-7132.53125
1713862528.3981078,8,-6237.18359375
1713862533.4618511,9,-5794.443359375
1713862539.2946117,10,-5533.736328125
1713862544.3517141,11,-5576.49951171875
1713862549.4371421,12,-6196.94677734375
1713862554.536082,13,-4929.47998046875
1713862559.6384194,14,-3657.52294921875
1713862564.7726917,15,-3445.522216796875
1713862569.8846805,16,-2941.39990234375
1713862574.9501033,17,-2842.04541015625
1713862580.072167,18,-2750.08203125
1713862585.1798935,19,-2519.138671875
1713862590.9985998,20,-2194.082763671875
1713862596.058436,21,-2135.2578125
1713862601.1034706,22,-1904.9005126953125
1713862606.151218,23,-1753.8798828125
1713862611.2249658,24,-1752.8477783203125
1713862616.3182058,25,-1472.751220703125
1713862621.4398494,26,-1433.104736328125
1713862626.5331342,27,-1081.7275390625
1713862631.6892242,28,-891.34765625
1713862636.8458068,29,-1107.152099609375
1713862642.7451162,30,-1188.9886474609375
1713862647.864771,31,-938.0870971679688
1713862653.0012684,32,-932.2035522460938
1713862658.1423526,33,-937.5126953125
1713862663.2239952,34,-1302.4677734375
1713862668.2579587,35,-1155.823974609375
1713862673.297239,36,-791.6314697265625
1713862678.4106202,37,-691.8770141601562
1713862683.561929,38,-642.7188720703125
1713862688.6618466,39,-563.0245361328125
1713862694.4406216,40,-532.753662109375
1713862699.5578663,41,-476.71673583984375
1713862704.6620054,42,-351.5948181152344
1713862709.7600424,43,-170.70376586914062
1713862714.8447073,44,-328.7677001953125
1713862719.9830754,45,-169.3822021484375
1713862725.122285,46,-214.9299774169922
1713862730.308384,47,-303.0835266113281
1713862735.361339,48,141.98785400390625
1713862740.4383228,49,-79.65817260742188
1713862746.289657,50,17.005136489868164
1713862751.3821442,51,122.86909484863281
1713862756.4997618,52,-66.58106994628906
1713862761.580871,53,-51.82014083862305
1713862766.65196,54,91.56790924072266
1713862771.7854989,55,-95.74459838867188
1713862776.8770409,56,12.814863204956055
1713862781.9736285,57,-21.91222381591797
1713862787.043453,58,12.588595390319824
1713862792.1104946,59,95.47964477539062
1713862797.8335826,60,35.125648498535156
1713862803.1882708,61,-41.920555114746094
1713862808.2531648,62,-197.45367431640625
1713862813.2982664,63,49.922637939453125
1713862818.352691,64,-82.18865203857422
1713862823.4329617,65,36.277915954589844
1713862828.570243,66,-45.59798812866211
