Wall time,Step,Value
1711636628.5518305,0,-17190.02734375
1711636631.0656822,1,-47753.7265625
1711636633.59101,2,-71018.734375
1711636636.209882,3,-75638.9375
1711636638.7716763,4,-77808.21875
1711636641.3118377,5,-79618.21875
1711636643.844697,6,-81333.6328125
1711636646.3668902,7,-80611.359375
1711636648.8995028,8,-81014.109375
1711636651.4526458,9,-80448.03125
1711636654.7941914,10,-82447.96875
1711636657.405776,11,-81956.1875
1711636660.0285597,12,-84310.8125
1711636662.7389948,13,-86168.1796875
1711636665.3889866,14,-89840.203125
1711636668.0248797,15,-88256.09375
1711636670.6368394,16,-90282.96875
1711636673.1979938,17,-92379.296875
1711636675.837278,18,-94060.71875
1711636678.3986394,19,-93416.046875
1711636681.6527586,20,-94040.421875
1711636684.2362986,21,-97562.546875
1711636686.7544901,22,-97233.3046875
1711636689.2744234,23,-99284.03125
1711636691.8686533,24,-103956.0
1711636694.4423761,25,-98921.671875
1711636697.0202684,26,-98705.75
1711636699.5858378,27,-94752.6953125
1711636702.130071,28,-96912.375
1711636704.7380166,29,-88605.65625
1711636707.9306126,30,-98253.6796875
1711636710.5011008,31,-96917.671875
1711636713.06301,32,-92013.1015625
1711636715.7081823,33,-90772.109375
1711636718.4041543,34,-88300.46875
1711636721.075419,35,-85588.7109375
1711636723.6928725,36,-67560.9765625
1711636726.271512,37,-50928.8203125
1711636728.8564134,38,-62409.5078125
1711636731.463667,39,-47061.05859375
1711636734.7081282,40,-48381.6171875
1711636737.2712734,41,-45484.23828125
1711636739.835864,42,-63861.4296875
1711636742.4438825,43,-45609.4921875
1711636745.1062033,44,-65400.58203125
1711636747.650493,45,-57315.57421875
1711636750.1993685,46,-42616.015625
1711636752.7661004,47,-23647.912109375
1711636755.3390887,48,-25007.69921875
1711636757.9316452,49,-25614.21484375
1711636761.1566722,50,-23970.73046875
1711636763.7091627,51,-24278.955078125
1711636766.259036,52,-13960.8720703125
1711636768.8251152,53,-17484.3515625
1711636771.374347,54,-19090.923828125
1711636773.915868,55,-12100.2705078125
1711636776.4582653,56,-10656.171875
1711636779.012151,57,-16467.98828125
1711636781.555091,58,56.92228698730469
1711636784.218815,59,-234.85162353515625
1711636787.3906202,60,-455.6756591796875
1711636789.942051,61,-407.01507568359375
1711636792.4999738,62,-26069.93359375
1711636795.140408,63,-217.68154907226562
1711636797.7072866,64,-25369.185546875
1711636800.284728,65,-3281.83544921875
1711636802.9004464,66,-21577.68359375
1711636805.524332,67,-25.588054656982422
1711636808.1725438,68,-181.18699645996094
1711636810.839955,69,-897.3768310546875
1711636814.1436427,70,-1060.8939208984375
1711636816.786529,71,-2428.61279296875
1711636819.4079974,72,-2743.199951171875
1711636822.0723555,73,-24548.7578125
1711636824.765991,74,-20611.818359375
1711636827.3579075,75,-32993.3046875
1711636829.9276168,76,-29035.83203125
1711636832.4859982,77,-16376.79296875
1711636835.0335255,78,-30390.609375
1711636837.5794342,79,-30334.4609375
1711636840.772669,80,-38589.4921875
1711636843.33052,81,-37146.4921875
1711636845.940908,82,-19508.6171875
1711636848.502162,83,-32821.328125
1711636851.1164055,84,-41566.8125
1711636853.825956,85,-29235.955078125
1711636856.3815336,86,-18019.802734375
1711636858.9438355,87,-25637.052734375
1711636861.48731,88,-16538.951171875
1711636864.0309985,89,-13198.5439453125
1711636867.285507,90,-18883.70703125
1711636869.8937902,91,-13669.25
1711636872.4284766,92,-16286.572265625
1711636874.97436,93,-12780.4609375
1711636877.5505915,94,-17226.05078125
1711636880.1186957,95,-9848.478515625
1711636882.6702368,96,-20305.296875
1711636885.2494829,97,-15693.537109375
1711636887.7749286,98,-8150.8427734375
1711636890.3213208,99,-9899.0078125
1711636893.5495536,100,-17806.5625
1711636896.131709,101,-10285.0966796875
1711636898.7318003,102,-19463.283203125
1711636901.3230023,103,-12479.470703125
1711636903.906493,104,-15051.6953125
1711636906.5663211,105,-21076.94921875
1711636909.170965,106,-11231.283203125
1711636911.8108554,107,-12127.271484375
1711636914.3890083,108,-14241.470703125
1711636917.0091393,109,-15061.673828125
1711636920.2471473,110,-9123.56640625
1711636922.8161635,111,-7938.74853515625
1711636925.3120754,112,-10210.15625
1711636927.8243964,113,-9511.6591796875
1711636930.3310826,114,-6593.541015625
1711636932.8521602,115,-6752.330078125
1711636935.3850834,116,-8636.810546875
1711636937.9150276,117,-7236.86328125
1711636940.4358935,118,-8354.45703125
1711636942.9693244,119,-7909.50439453125
1711636946.2433715,120,-8767.2353515625
1711636948.7891383,121,-7286.9716796875
1711636951.3212276,122,-5727.2451171875
1711636953.8859942,123,-5856.935546875
1711636956.4518073,124,-6177.07080078125
1711636959.013275,125,-8536.958984375
1711636961.6087408,126,-6784.38720703125
1711636964.205507,127,-6170.36572265625
1711636966.7763414,128,-5975.064453125
1711636969.3253102,129,-5378.97119140625
1711636972.5605898,130,-5247.72509765625
1711636975.1231115,131,-4565.22021484375
1711636977.6900709,132,-4149.15087890625
1711636980.2650113,133,-4280.90625
1711636982.8287663,134,-3745.815673828125
1711636985.3632052,135,-3598.5615234375
1711636987.9096563,136,-8851.158203125
1711636990.4517505,137,881.0328979492188
1711636992.9845269,138,-4637.7041015625
1711636995.5519736,139,387.15380859375
1711636998.752192,140,-7191.646484375
1711637001.3105388,141,651.8485717773438
1711637003.8680737,142,-1576.83154296875
1711637006.404734,143,-1857.87646484375
1711637008.9519165,144,-2001.666015625
1711637011.4923177,145,429.9755859375
1711637014.065996,146,-967.7095336914062
1711637016.6172743,147,-621.6290283203125
1711637019.1671588,148,667.268310546875
1711637021.7210515,149,-1305.326904296875
