Step,Value
311,-305.1418395996094
312,-488.60713958740234
313,-420.2302764892578
314,-547.6681304931641
315,-397.83339233398436
316,-388.16362686157225
317,-307.377685546875
318,-693.0123672485352
319,-500.6142864227295
320,-357.84034423828126
321,-416.4956001281738
322,-376.80743408203125
323,-762.5770126342774
324,-476.02819976806643
325,-461.9682556152344
326,-585.5185646057129
327,-347.9616792678833
328,-652.3387985229492
329,-518.8918960571289
330,-603.3043098449707
331,-531.6840774536133
332,-987.479224395752
333,-445.57214202880857
334,-564.6128639221191
335,-435.777445602417
336,-595.8993713378907
337,-597.0099273681641
338,-709.4473928451538
339,-565.6966514587402
340,-561.5119045257568
341,-577.4895080566406
342,-738.5611694335937
343,-461.6499420166016
344,-870.6735988616944
345,-483.5347473144531
346,-375.8053802490234
347,-569.5933662414551
348,-372.9280921936035
349,-548.1358570098877
350,-482.72151679992675
351,-452.754318523407
352,-422.5263011932373
353,-1387.0845605760812
354,-420.3128883868456
355,-565.3467512190342
356,-326.3844971418381
357,-786.4434730529786
358,-590.6328948974609
359,-1026.3082946777345
360,-547.2944488525391
361,-506.5862331315875
362,-821.7910506486893
363,-360.67633686065676
364,-414.807222366333
365,-564.2021743774415
366,-355.4147239685059
367,-554.0830406188965
368,-991.5319923400879
369,-492.01473598480226
370,-403.5831073760986
371,-281.87634124755857
372,-363.31487102508544
373,-713.9898103713989
374,-454.95954875946046
375,-537.3065212249755
376,-412.71264457702637
377,-892.4027793884277
378,-439.5232528686523
379,-492.85156927108767
380,-560.3737439632416
381,-220.85731239318847
382,-461.150826716423
383,-733.3163116574287
384,-660.5873612880707
385,-494.41059055328367
386,-1017.9730884552002
387,-828.403677368164
388,-727.3835914611816
389,-312.8656944274902
390,-357.5266883850098
391,-574.9402900695801
392,-540.809556722641
393,-307.1692607164383
394,-623.2316980838775
395,-714.8204626083374
396,-326.97946257591246
397,-478.3902260541916
398,-553.290578174591
399,-851.4851655006408
400,-455.7904308319092
401,-541.4134370803833
402,-374.0620098114014
403,-401.4424308776855
404,-340.98630981445314
405,-539.4261556625366
406,-872.8841609954834
407,-413.3313591003418
408,-412.31279945373535
409,-198.33973388671876
410,-1046.7658897399901
411,-577.8320259094238
412,-592.7573493957519
413,-562.0226135253906
414,-558.0816711425781
415,-804.1685546875
416,-864.3020965576172
417,-563.853564453125
418,-314.65018768310546
419,-405.9261840820312
420,-206.61217041015624
421,-370.3712890625
422,-860.5879333496093
423,-125.1591896057129
424,-389.47137451171875
425,-428.7716491699219
426,-207.80716285705566
427,-318.0871276855469
428,-345.05845336914064
429,-486.80433349609376
430,-463.1129577636719
431,-679.7250030517578
432,-359.95667877197263
433,-390.56353149414065
434,-155.42874298095703
435,-512.3700897216797
436,-147.51933898925782
437,-364.9409744262695
438,-453.7076904296875
439,-231.76624603271483
440,-297.11439208984376
441,-130.1284622192383
442,-686.6482177734375
443,-982.8301971435546
444,-490.9646850585938
445,-64.14661655426025
446,-408.3835693359375
447,-482.2246032714844
448,-698.7958923339844
449,-382.27220458984374
450,-232.9540222167969
451,-386.90307502746583
452,-431.4125381469727
453,-204.27750549316406
454,-293.218936920166
455,-367.8171836853027
456,-286.49820709228516
457,-566.0923145413399
458,-445.2112361907959
459,-396.2790466308594
460,-569.3063499450684
461,-231.84217796325683
462,-139.40437297821046
463,-323.41135559082034
464,-282.0032447814941
465,-1120.543005847931
466,-432.99024696350097
467,-438.2161178588867
468,-325.63423137664796
469,-808.2959262847901
470,-623.4797828674316
471,-240.0973283290863
472,-424.46590814590456
473,-580.150846862793
474,-401.1183871269226
475,-437.4870611190796
476,-454.01519107818604
477,-621.2340343475341
478,-342.7078639984131
479,-466.2746185302734
480,-555.8874938964843
481,-326.0166702270508
482,-491.1197929382324
483,-392.7236618041992
484,-629.1815002441406
485,-393.5542617797852
486,-563.6519653320313
487,-278.42946140766145
488,-874.3879333496094
489,-338.2850799560547
490,-496.19898147583007
491,-559.78896484375
492,-757.7009811401367
493,-578.3507476806641
494,-1089.6207397460937
495,-989.8706481933593
496,-1136.6027954101562
497,-580.6781616210938
498,-1018.8083374023438
499,-900.4758117675781
500,-605.2151977539063
501,-577.1849212646484
502,-868.64560546875
503,-753.2839660644531
504,-1438.0805725097657
505,-786.5156173706055
506,-599.6459060668946
507,-769.9473190307617
508,-1114.5167556762694
509,-1241.738899230957
510,-890.6622314453125
511,-698.3911071777344
512,-731.8578125
513,-676.647027206421
514,-586.2974182128906
515,-781.0594512939454
516,-849.4022521972656
517,-692.8484939575195
518,-552.0523651123046
519,-799.7117797851563
520,-657.4833236694336
521,-629.6285247802734
522,-777.2706268310546
523,-862.4536010742188
524,-1027.03875579834
525,-829.7328170776367
526,-739.0869781494141
527,-739.516552734375
528,-460.7887725830078
529,-606.649447631836
530,-1713.1105224609375
531,-617.0335723876954
532,-721.6189498901367
533,-742.4281288146973
534,-659.5171279907227
535,-449.75597801208494
536,-964.5287292480468
537,-840.4808654785156
538,-311.09905395507815
539,-552.7898071289062
540,-599.0728240966797
541,-607.6548828125
542,-1197.5936889648438
543,-984.8845397949219
544,-452.57215576171876
545,-667.1246459960937
546,-531.7279357910156
547,-574.3418029785156
548,-740.1232391357422
549,-640.905924987793
550,-522.0225830078125
551,-1031.8889709472655
552,-516.6248809814454
553,-1168.067120361328
554,-416.19569091796876
555,-359.989030456543
556,-353.1719970703125
557,-375.00934448242185
558,-541.3702575683594
559,-435.39154052734375
560,-616.8856323242187
561,-679.7331909179687
562,-473.0334899902344
563,-614.8830078125
564,-510.29603271484376
565,-961.6338134765625
566,-727.7478820800782
567,-434.5835876464844
568,-372.71641063690186
569,-428.5592468261719
570,-510.74016227722166
571,-845.36640625
572,-533.9481628417968
573,-409.56618728637693
574,-458.38477478027346
575,-188.22064056396485
576,-558.0798492431641
577,-509.29943771362304
578,-674.5417724609375
579,-433.19618835449216
580,-652.7781127929687
581,-298.8873352050781
582,-310.8037811279297
583,-900.329702758789
584,-550.7939697265625
585,-413.04031505584715
586,-300.21303100585936
587,-323.014421081543
588,-76.23745727539062
589,-844.153433227539
590,-283.92190990448
591,-477.2985089302063
592,-405.7037184715271
593,-250.5064142227173
594,-317.9126527786255
595,-437.79348640441896
596,-154.30845746994018
597,-387.7045166015625
598,-359.1685546875
599,-526.3358703613281
600,-502.1579895019531
601,-670.6047943115234
602,-228.10751953125
603,-184.92645721435548
604,-525.8361877441406
605,-602.4845977783203
606,-736.1793487548828
607,-1085.6844543457032
608,-332.13860473632815
609,-630.3284946441651
610,-517.3393270671135
611,-839.8296690346906
612,-528.4529940360575
613,-416.19404628453776
614,-364.95131815928033
615,-443.11100040179446
616,-655.491986390471
617,-792.785828808241
618,-485.2463362043956
619,-298.92145623920953
620,-312.48991204305787
621,-320.267216856929
622,-130.92970396316957
623,-341.39004930701924
624,-1459.907153857802
625,-299.7725064508151
626,-332.59033705936747
627,-164.6486952755775
628,-1102.1307784157193
629,-166.39170761443674
630,-392.53352473823327
631,-366.6458173508261
632,-337.9466900618019
633,-540.102869880134
634,-376.5176178339443
635,-390.9915986032602
636,-789.9797252764326
637,-509.08549838139606
638,-355.6265656813077
639,-687.8854370562829
640,-1030.425592054526
641,-272.74653320671075
642,-344.0769409187975
643,-1033.7465637208693
644,-777.0714111328414
645,-260.7353576660199
646,-354.64880981445367
647,-531.1689056396485
648,-409.66171875
649,-818.8280883789063
650,-246.16507186889652
651,-208.30828475952148
652,-151.4377471923828
653,-192.48087463378906
654,-981.9899230957031
655,-671.7549987792969
656,-479.9978271484375
657,-456.8883903503418
658,-878.3830749511719
659,-212.94013862609864
660,-582.7505126953125
661,-273.4975921630859
662,-473.47498245239257
663,-596.5016296386718
664,-487.27586669921874
665,-109.4053123474121
666,-259.5180603027344
667,-329.68686828613284
668,-381.44684715270995
669,-51.798495864868165
670,-447.7219543457031
671,-624.4135375976563
672,-413.36451416015626
673,-334.5125793457031
674,-289.49744262695316
675,-571.8503662109375
676,-637.1673645019531
677,-241.75222778320312
678,-217.74420547485352
679,-428.35141906738284
680,-320.0339416503906
681,-564.1397132873535
682,-721.9853332519531
683,-749.4653602600098
684,-289.04119262695315
685,-462.97723388671875
686,-161.52826690673828
687,-224.1146451950073
688,-443.7123291015625
689,-197.85571122169495
690,-313.39623107910154
691,-252.57520141601563
692,-375.35704650878904
693,-342.3517791748047
694,-585.3162963867187
695,-437.7030090332031
696,-323.84190673828124
697,-993.2318725585938
698,-294.8677947998047
699,-531.1612831115723
700,-318.6801060199738
701,-923.5427673339843
702,-194.53599243164064
703,-474.3241821289063
704,-319.72312622070314
705,-599.7578735351562
706,-592.693994140625
707,-759.6193237304688
708,-388.8797210693359
709,-537.6889556884765
710,-969.0500061035157
711,-681.6665130615235
712,-354.83392333984375
713,-752.77236328125
714,-1336.102066040039
715,-286.51764221191405
716,-294.7978851318359
717,-313.25195159912107
718,-629.5385269165039
719,-939.9563064575195
720,-505.1968338012695
721,-341.586686706543
722,-307.3257263183594
723,-259.38476715087893
724,-390.104638671875
725,-240.8804916381836
726,-589.0465789794922
727,-231.75802154541014
728,-530.1471618652344
729,-489.2120086669922
730,-671.6865051269531
731,-474.02787761688234
732,-467.34564514160155
733,-301.3132354736328
734,-754.6402618408204
735,-753.828517150879
736,-805.3953247070312
737,-479.8664916992187
738,-490.86318359375
739,-636.8117248535157
740,-1142.5450103759765
741,-165.6628631591797
742,-378.51408157348635
743,-306.7762390136719
744,-731.4020477294922
745,-235.7628625869751
746,-417.8127807617187
747,-846.5160720825195
748,-287.0514114379883
749,-166.36445083618165
750,-245.4062957763672
751,-717.4046127319336
752,-476.0034118652344
753,-446.27238273620605
754,-323.4886413574219
755,-456.3369659423828
756,-583.6302459716796
757,-47.826691436767575
758,-312.9460510253906
759,-487.81419982910154
760,-345.0293258666992
