Wall time,Step,Value
1712319616.7969794,0,-8584.5068359375
1712319619.7222724,1,-13368.74609375
1712319622.5918345,2,-10877.81640625
1712319625.4712214,3,-7818.818359375
1712319628.4179265,4,-5446.955078125
1712319631.3354156,5,-4066.787841796875
1712319634.2321234,6,-2860.818603515625
1712319637.1468976,7,-2117.92724609375
1712319640.0500262,8,-1733.356201171875
1712319642.9173408,9,-1409.9161376953125
1712319646.6454413,10,-1202.336669921875
1712319649.5898652,11,-989.2030029296875
1712319652.553209,12,-827.86474609375
1712319655.4486077,13,-731.0184936523438
1712319658.3152766,14,-659.4397583007812
1712319661.3056452,15,-566.9432983398438
1712319664.2695646,16,-558.4569702148438
1712319667.179369,17,-482.7868957519531
1712319670.0531766,18,-455.92822265625
1712319672.9620807,19,-395.3584289550781
1712319676.6511698,20,-359.8603820800781
1712319679.5724125,21,-310.15582275390625
1712319682.4576647,22,-309.5661315917969
1712319685.3439758,23,-302.83074951171875
1712319688.2732205,24,-293.6597595214844
1712319691.1449518,25,-282.5008544921875
1712319694.1030173,26,-205.8687744140625
1712319697.0008826,27,-234.53707885742188
1712319699.8996503,28,-208.4217987060547
1712319702.780088,29,-190.49322509765625
1712319706.3889363,30,-193.55616760253906
1712319709.2742817,31,-154.65724182128906
1712319712.1462433,32,-158.77711486816406
1712319715.0563173,33,-167.03955078125
1712319717.964058,34,-147.9694061279297
1712319720.8729687,35,-145.92979431152344
1712319723.8128197,36,-139.1838836669922
1712319726.7357502,37,-115.06736755371094
1712319729.7290661,38,-122.37939453125
1712319732.667649,39,-123.06065368652344
1712319736.3199854,40,-116.7312240600586
1712319739.2483678,41,-90.93293762207031
1712319742.204579,42,-100.67005157470703
1712319745.1207993,43,-94.83207702636719
1712319748.035254,44,-83.85039520263672
1712319750.9165993,45,-98.42938232421875
1712319753.8285356,46,-77.20330810546875
1712319756.7276268,47,-75.72943878173828
1712319759.6182096,48,-82.76738739013672
1712319762.5082638,49,-71.79142761230469
1712319766.2087536,50,-69.8586196899414
1712319769.1467333,51,-65.95549774169922
1712319772.0427208,52,-65.17864227294922
1712319774.917355,53,-63.42912673950195
1712319777.8608422,54,-57.9896240234375
1712319780.734826,55,-58.27958297729492
1712319783.6382842,56,-55.26738357543945
1712319786.5338094,57,-44.9068489074707
1712319789.4341693,58,-50.714115142822266
1712319792.2791007,59,-41.073421478271484
1712319795.8809724,60,-44.186004638671875
1712319798.7857437,61,-41.667144775390625
1712319801.6321929,62,-40.061622619628906
1712319804.5271373,63,-36.07675552368164
1712319807.4828176,64,-41.571022033691406
1712319810.3995016,65,-37.664283752441406
1712319813.3416204,66,-39.92665481567383
1712319816.3023417,67,-34.54670333862305
1712319819.1886072,68,-31.017791748046875
1712319822.117598,69,-33.467525482177734
1712319825.8058572,70,-33.39210510253906
1712319828.709419,71,-31.290903091430664
1712319831.66048,72,-23.624557495117188
1712319834.582154,73,-24.183204650878906
1712319837.5129464,74,-21.35472869873047
1712319840.461011,75,-24.59736442565918
1712319843.3408716,76,-25.195514678955078
1712319846.2021465,77,-24.90569496154785
1712319849.1177633,78,-19.892988204956055
1712319852.01143,79,-16.414960861206055
1712319855.6971855,80,-23.388534545898438
1712319858.6164746,81,-22.441329956054688
1712319861.5214298,82,-20.19251251220703
1712319864.4572873,83,-16.787002563476562
1712319867.3436122,84,-16.172576904296875
1712319870.267722,85,-14.611603736877441
1712319873.190288,86,-13.515713691711426
1712319876.0906417,87,-16.92915153503418
1712319879.0129561,88,-15.945707321166992
1712319881.8963149,89,-13.841217994689941
1712319885.5230675,90,-13.557779312133789
1712319888.4030976,91,-11.234017372131348
1712319891.2747285,92,-11.359879493713379
1712319894.2106352,93,-13.436471939086914
1712319897.115161,94,-11.181432723999023
1712319900.008534,95,-15.3822603225708
1712319902.940726,96,-11.522520065307617
1712319905.910804,97,-8.273945808410645
1712319908.8161488,98,-13.032452583312988
1712319911.702853,99,-11.368934631347656
1712319915.4261038,100,-9.919715881347656
1712319918.360186,101,-10.216024398803711
1712319921.2797623,102,-8.659088134765625
1712319924.2408068,103,-10.355534553527832
1712319927.100756,104,-6.987581729888916
1712319929.977812,105,-8.926911354064941
1712319932.8832822,106,-10.40723991394043
1712319935.813333,107,-8.216943740844727
1712319938.7371352,108,-6.053632736206055
1712319941.6563113,109,-6.2024617195129395
1712319945.3249602,110,-7.627140998840332
1712319948.2710567,111,-6.824842929840088
1712319951.1808982,112,-6.860678195953369
1712319954.1469982,113,-6.922860622406006
1712319957.0086942,114,-5.2236175537109375
1712319959.9176922,115,-6.113733291625977
1712319962.8516703,116,-5.177726745605469
1712319965.7880337,117,-5.178895473480225
1712319968.6622088,118,-4.085470199584961
1712319971.5880537,119,-5.501466751098633
1712319975.2534223,120,-3.3802642822265625
1712319978.1714647,121,-3.091592311859131
1712319981.1447442,122,-3.9812276363372803
1712319984.0577285,123,-3.7532334327697754
1712319987.0218353,124,-4.609642028808594
1712319989.9060428,125,-3.8797154426574707
1712319992.8493595,126,-4.352438926696777
1712319995.8051734,127,-4.645325660705566
1712319998.7138875,128,-3.5491280555725098
1712320001.6389015,129,-3.5104105472564697
1712320005.4064379,130,-2.7025835514068604
1712320008.324496,131,-2.883885622024536
1712320011.315039,132,-4.039433002471924
1712320014.291312,133,-3.001809597015381
1712320017.238212,134,-3.7983362674713135
1712320020.2259007,135,-2.302523612976074
1712320023.130871,136,-1.9506453275680542
1712320026.0605786,137,-2.648486375808716
1712320028.9421275,138,-2.634988307952881
1712320031.8797953,139,-1.9212018251419067
1712320035.5814238,140,-1.5527864694595337
1712320038.5114036,141,-2.4276528358459473
1712320041.4297903,142,-2.0896048545837402
1712320044.353693,143,-1.8157044649124146
1712320047.290121,144,-1.9386253356933594
1712320050.1587272,145,-1.4210113286972046
1712320053.103949,146,-2.4507079124450684
1712320056.0006733,147,-1.4925535917282104
1712320058.8546913,148,-1.6209872961044312
1712320061.753963,149,-2.174226760864258
1712320065.4250238,150,-1.0601067543029785
1712320068.358182,151,-2.1738905906677246
1712320071.220369,152,-2.38623309135437
1712320074.120791,153,-1.2531177997589111
1712320077.0022128,154,-1.474718689918518
1712320079.9018204,155,-2.0317745208740234
1712320082.7962873,156,-0.2579668164253235
1712320085.7220638,157,-1.0773696899414062
1712320088.6677904,158,-1.0914714336395264
1712320091.536818,159,-1.2055094242095947
1712320095.1291757,160,-1.698598861694336
1712320097.9829397,161,-1.2356646060943604
1712320100.8934703,162,-0.6892123818397522
1712320103.8124886,163,-1.3951152563095093
1712320106.7409642,164,0.040976256132125854
1712320109.6929858,165,-0.9116882681846619
1712320112.5708065,166,-0.5989189147949219
1712320115.4401593,167,-0.8244502544403076
1712320118.2991333,168,-1.6171040534973145
1712320121.2137911,169,-0.5314273834228516
1712320124.8209527,170,-0.3810122013092041
1712320127.774276,171,0.22054708003997803
1712320130.6324182,172,-0.7591840028762817
1712320133.567067,173,-0.5384519100189209
1712320136.494473,174,-0.8217099905014038
1712320139.3960118,175,-1.4305601119995117
1712320142.2811892,176,-0.6247187256813049
1712320145.2315433,177,-1.1008493900299072
1712320148.1383197,178,-0.8193042278289795
1712320151.023198,179,-0.1451563835144043
1712320154.5991592,180,-0.24532967805862427
1712320157.4987028,181,-0.5473669767379761
1712320160.4173553,182,-0.7223455905914307
1712320163.338783,183,-0.5530585646629333
1712320166.2059085,184,-0.5931276082992554
1712320169.101465,185,-0.4377833902835846
1712320171.968339,186,-0.8889022469520569
1712320174.8953624,187,-0.22386667132377625
1712320177.868694,188,-0.7514466047286987
1712320180.7541344,189,-0.34256163239479065
1712320184.3494754,190,-0.7399145364761353
1712320187.185429,191,-0.4721958041191101
1712320190.0902448,192,-0.12475533783435822
1712320192.9614148,193,-0.11163027584552765
1712320195.863703,194,-0.1986580342054367
1712320198.7969244,195,-0.8544155955314636
